route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
301511,3,E11,,,3,,000000,FFFFFF
301512,3,E12,,,3,,000000,FFFFFF
301513,3,E13,,,3,,000000,FFFFFF
301522,3,E202,,,3,,000000,FFFFFF
301529,3,E209,,,3,,000000,FFFFFF
301532,3,E222,,,3,,000000,FFFFFF
301535,3,E215,,,3,,000000,FFFFFF
301537,3,E227,,,3,,000000,FFFFFF
301539,3,E229,,,3,,000000,FFFFFF
301541,3,E231,,,3,,000000,FFFFFF
301549,3,E239,,,3,,000000,FFFFFF
301550,3,E240,,,3,,000000,FFFFFF
301553,3,E253,,,3,,000000,FFFFFF
301555,3,,12 (E255),,3,,000000,FFFFFF
301557,3,E257,,,3,,000000,FFFFFF
301567,3,E427,,,3,,000000,FFFFFF
301569,3,E429,,,3,,000000,FFFFFF
301570,3,E430,,,3,,000000,FFFFFF
301572,3,E432,,,3,,000000,FFFFFF
301573,3,E433,,,3,,000000,FFFFFF
301591,3,E451,,,3,,000000,FFFFFF
501008,5,RE8,,,2,,000000,FFFFFF
501009,5,RE9,,,2,,000000,FFFFFF
501012,5,RE12,,,2,,000000,FFFFFF
501022,5,RE22,,,2,,000000,FFFFFF
501024,5,RB24,,,2,,000000,FFFFFF
501025,5,RB25,,,2,,000000,FFFFFF
501027,5,RB27,,,2,,000000,FFFFFF
501030,5,RB30,,,2,,000000,FFFFFF
501038,5,RB38,,,2,,000000,FFFFFF
501206,5,S6,,,2,,000000,FFFFFF
501211,5,S11,,,2,,000000,FFFFFF
501212,5,S12,,,2,,000000,FFFFFF
501219,5,S19,,,2,,000000,FFFFFF
501223,5,S23,,,2,,000000,FFFFFF
600060,6,SB60,,,3,,000000,FFFFFF
600061,6,61,,,0,,000000,FFFFFF
600062,6,62,,,0,,000000,FFFFFF
600063,6,63,,,0,,000000,FFFFFF
600065,6,65,,,0,,000000,FFFFFF
600066,6,66,,,0,,000000,FFFFFF
600067,6,67,,,0,,000000,FFFFFF
600068,6,68,,,0,,000000,FFFFFF
